2025-09-19T09:01:18.461Z [INFO] [Request] GET / | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.311Z [INFO] [Request] GET /src/pages/admin/grounds.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.313Z [INFO] [Request] GET /src/pages/admin/plans.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.315Z [INFO] [Request] GET /src/pages/admin/timeslots.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.322Z [INFO] [Request] GET /src/pages/admin/facilities.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.351Z [INFO] [Request] GET /src/pages/admin/bookings.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.428Z [INFO] [Request] GET /src/pages/admin/users.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.430Z [INFO] [Request] GET /src/pages/admin/payments.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.447Z [INFO] [Request] GET /src/pages/user/Dashboard.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.453Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/vite/dist/client/env.mjs | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.455Z [INFO] [Request] GET /src/hooks/use-toast.ts | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.461Z [INFO] [Request] GET /src/components/ui/toast.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.464Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/react.js?v=691b99fb | Body: {} | Query: {"v":"691b99fb"} | Params: {}
2025-09-19T09:01:20.466Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-tooltip.js?v=41febdcc | Body: {} | Query: {"v":"41febdcc"} | Params: {}
2025-09-19T09:01:20.469Z [INFO] [Request] GET /src/lib/utils.ts | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.473Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/lucide-react.js?v=00469319 | Body: {} | Query: {"v":"00469319"} | Params: {}
2025-09-19T09:01:20.479Z [INFO] [Request] GET /src/components/ui/button.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.482Z [INFO] [Request] GET /src/components/ui/card.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.482Z [INFO] [Request] GET /src/components/HeroSection.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.489Z [INFO] [Request] GET /src/components/Navbar.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.494Z [INFO] [Request] GET /src/components/FacilityCard.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.495Z [INFO] [Request] GET /src/components/ui/input.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.497Z [INFO] [Request] GET /src/components/ui/label.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.503Z [INFO] [Request] GET /src/components/ui/dropdown-menu.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.504Z [INFO] [Request] GET /src/components/ui/badge.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.507Z [INFO] [Request] GET /src/components/ui/alert-dialog.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.509Z [INFO] [Request] GET /src/components/BookingModal.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.517Z [INFO] [Request] GET /src/components/ui/select.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.518Z [INFO] [Request] GET /src/components/ui/sheet.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.522Z [INFO] [Request] GET /src/components/ui/checkbox.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.527Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/date-fns.js?v=977a0a46 | Body: {} | Query: {"v":"977a0a46"} | Params: {}
2025-09-19T09:01:20.529Z [INFO] [Request] GET /src/pages/admin/NotificationManagement.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.531Z [INFO] [Request] GET /src/pages/admin/reports.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.533Z [INFO] [Request] GET /src/components/ui/calendar.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.538Z [INFO] [Request] GET /src/components/ui/popover.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.539Z [INFO] [Request] GET /src/lib/authUtils.ts | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.541Z [INFO] [Request] GET /src/components/ui/tabs.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.543Z [INFO] [Request] GET /src/components/ui/separator.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.544Z [INFO] [Request] GET /src/components/ui/switch.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.547Z [INFO] [Request] GET /src/components/PaymentHistoryModal.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.549Z [INFO] [Request] GET /src/components/MockPaymentForm.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.552Z [INFO] [Request] GET /src/components/AdminSidebar.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.554Z [INFO] [Request] GET /src/components/StatsCard.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.555Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/react-hook-form.js?v=24548581 | Body: {} | Query: {"v":"24548581"} | Params: {}
2025-09-19T09:01:20.557Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@hookform_resolvers_zod.js?v=01dfc78d | Body: {} | Query: {"v":"01dfc78d"} | Params: {}
2025-09-19T09:01:20.559Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/zod.js?v=19e44bcf | Body: {} | Query: {"v":"19e44bcf"} | Params: {}
2025-09-19T09:01:20.560Z [INFO] [Request] GET /src/components/ui/form.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.562Z [INFO] [Request] GET /src/components/ui/textarea.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.563Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/shared/schema.ts | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.564Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-QCHXOAYK.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.567Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-WOOG5QLI.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.568Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-KBTYAULA.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.571Z [INFO] [Request] GET /src/components/ui/table.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.572Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/jspdf.js?v=94fb9157 | Body: {} | Query: {"v":"94fb9157"} | Params: {}
2025-09-19T09:01:20.575Z [INFO] [Request] GET /src/components/ui/dialog.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.576Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/jspdf-autotable.js?v=89f35774 | Body: {} | Query: {"v":"89f35774"} | Params: {}
2025-09-19T09:01:20.578Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/xlsx.js?v=c5ddeb7a | Body: {} | Query: {"v":"c5ddeb7a"} | Params: {}
2025-09-19T09:01:20.581Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/file-saver.js?v=af524854 | Body: {} | Query: {"v":"af524854"} | Params: {}
2025-09-19T09:01:20.584Z [INFO] [Request] GET /src/lib/exportUtils.ts | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.586Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-RPCDYKBN.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.592Z [INFO] [Request] GET /src/components/NotificationCenter.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.594Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-toast.js?v=88788016 | Body: {} | Query: {"v":"88788016"} | Params: {}
2025-09-19T09:01:20.596Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/class-variance-authority.js?v=0bc7cfa6 | Body: {} | Query: {"v":"0bc7cfa6"} | Params: {}
2025-09-19T09:01:20.597Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-UPVX7IVH.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.598Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-NVURRC7D.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.600Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-EQGEA3QH.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.603Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-7ZIEIKXH.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.604Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-7SWSU5HC.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.606Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-KO3EV6KN.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.613Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-UOTLCHXG.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.614Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-5Q5YC75F.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.618Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-E7IAXTU4.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.619Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-AXMZZQ2X.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.620Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-2K77HOHX.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.621Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/clsx.js?v=baa89e53 | Body: {} | Query: {"v":"baa89e53"} | Params: {}
2025-09-19T09:01:20.624Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/tailwind-merge.js?v=d0e3d780 | Body: {} | Query: {"v":"d0e3d780"} | Params: {}
2025-09-19T09:01:20.625Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-slot.js?v=9437c9a8 | Body: {} | Query: {"v":"9437c9a8"} | Params: {}
2025-09-19T09:01:20.627Z [INFO] [Request] GET /src/components/ui/avatar.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.627Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-label.js?v=32c7cb64 | Body: {} | Query: {"v":"32c7cb64"} | Params: {}
2025-09-19T09:01:20.628Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-dropdown-menu.js?v=8073200a | Body: {} | Query: {"v":"8073200a"} | Params: {}
2025-09-19T09:01:20.630Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-alert-dialog.js?v=9bd84218 | Body: {} | Query: {"v":"9bd84218"} | Params: {}
2025-09-19T09:01:20.632Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-select.js?v=9a05ccf1 | Body: {} | Query: {"v":"9a05ccf1"} | Params: {}
2025-09-19T09:01:20.633Z [INFO] [Request] GET /src/components/ui/radio-group.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.635Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-dialog.js?v=087193a1 | Body: {} | Query: {"v":"087193a1"} | Params: {}
2025-09-19T09:01:20.636Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-checkbox.js?v=412146fd | Body: {} | Query: {"v":"412146fd"} | Params: {}
2025-09-19T09:01:20.637Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-6PJ6ZD5Z.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.639Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/react-day-picker.js?v=198d60bc | Body: {} | Query: {"v":"198d60bc"} | Params: {}
2025-09-19T09:01:20.644Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-popover.js?v=b0030e36 | Body: {} | Query: {"v":"b0030e36"} | Params: {}
2025-09-19T09:01:20.644Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-tabs.js?v=686e8537 | Body: {} | Query: {"v":"686e8537"} | Params: {}
2025-09-19T09:01:20.646Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-separator.js?v=31fc2f3c | Body: {} | Query: {"v":"31fc2f3c"} | Params: {}
2025-09-19T09:01:20.647Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-switch.js?v=1e040097 | Body: {} | Query: {"v":"1e040097"} | Params: {}
2025-09-19T09:01:20.648Z [INFO] [Request] GET /src/components/ReceiptModal.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.651Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-4BFJKWC4.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.652Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-WGQNECLP.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.654Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/drizzle-orm_pg-core.js?v=320137d2 | Body: {} | Query: {"v":"320137d2"} | Params: {}
2025-09-19T09:01:20.656Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/drizzle-zod.js?v=4a6569bd | Body: {} | Query: {"v":"4a6569bd"} | Params: {}
2025-09-19T09:01:20.657Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-U7P2NEEE.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.659Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-OKRBDNY4.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.661Z [INFO] [Request] GET /src/components/ui/scroll-area.tsx | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.661Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-D7ZASVPN.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.662Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-avatar.js?v=97a931cc | Body: {} | Query: {"v":"97a931cc"} | Params: {}
2025-09-19T09:01:20.666Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-YGCYJQAK.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.666Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-4RO2SXZU.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.670Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-TQT7K6GT.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.671Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-IS6R2PH4.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.671Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-43G6IMPT.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.672Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-6ZMM2PAV.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.675Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-radio-group.js?v=27775255 | Body: {} | Query: {"v":"27775255"} | Params: {}
2025-09-19T09:01:20.675Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/chunk-S4QZGJXL.js?v=712d2c64 | Body: {} | Query: {"v":"712d2c64"} | Params: {}
2025-09-19T09:01:20.678Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/.vite/deps/@radix-ui_react-scroll-area.js?v=58d83c6e | Body: {} | Query: {"v":"58d83c6e"} | Params: {}
2025-09-19T09:01:20.826Z [INFO] [Request] GET /api/auth/user | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.826Z [INFO] [Response] GET /api/auth/user | Status: 200 | Body: {"id":"demo-admin-001","email":"admin@demo.com","firstName":"Admin","lastName":"User","profileImageUrl":null,"phone":null,"password":"$2b$10$qMHtPr6dB4nAjBZUDOB4xOa2gEBOYcqgY4gwMcjd92IMxTGXKHENK","role":"admin","isActive":true,"emailVerified":false,"notificationPreferences":{"sms":true,"email":true,"marketing":false},"createdAt":"2025-09-19T01:31:32.185Z","updatedAt":"2025-09-19T01:31:32.185Z","userType":"admin"}
2025-09-19T09:01:20.883Z [INFO] [Request] GET /api/facilities | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.884Z [INFO] [Request] GET /api/facilities/1 | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.885Z [INFO] [Request] GET /favicon.ico | Body: {} | Query: {} | Params: {}
2025-09-19T09:01:20.894Z [INFO] [Response] GET /api/facilities | Status: 200 | Body: [{"id":1,"facilityId":1,"groundId":1,"name":"Court1","type":"badminton","description":"lol","capacity":10,"hourlyRate":"200","monthlyRate":"6000","yearlyRate":"73000","isActive":true,"location":"raipur","amenities":["w"],"images":[],"createdAt":"2025-09-19T11:43:01.882Z","updatedAt":"2025-09-19T11:43:01.882Z","source":"master","sportName":"Badminton","sportCode":"BAD12","groundCode":"C1","bookingTypes":{"perPerson":false,"fullGround":true},"plans":[{"id":1,"planId":1,"planName":"Per day","planType":"hourly","durationDays":1,"basePrice":200,"peakHourMultiplier":1.5,"weekendMultiplier":1.2}]}]
2025-09-19T09:01:20.895Z [INFO] [Response] GET /api/facilities/1 | Status: 200 | Body: {"id":1,"facilityId":1,"groundId":1,"name":"Court1","type":"badminton","description":"lol","capacity":10,"hourlyRate":"200","monthlyRate":"6000","yearlyRate":"73000","isActive":true,"location":"raipur","amenities":["w"],"images":[],"createdAt":"2025-09-19T11:43:01.882Z","updatedAt":"2025-09-19T11:43:01.882Z","source":"master","sportName":"Badminton","sportCode":"BAD12","groundCode":"C1","bookingTypes":{"perPerson":false,"fullGround":true},"plans":[{"id":1,"planId":1,"planName":"Per day","planType":"hourly","durationDays":1,"basePrice":200,"peakHourMultiplier":1.5,"weekendMultiplier":1.2}]}
2025-09-19T09:01:20.926Z [INFO] [Request] GET /api/facilities/1/slots?date=2025-09-19 | Body: {} | Query: {"date":"2025-09-19"} | Params: {}
2025-09-19T09:02:46.776Z [INFO] [Request] GET /api/facilities/1/slots?date=2025-09-25 | Body: {} | Query: {"date":"2025-09-25"} | Params: {}
2025-09-19T09:02:46.907Z [INFO] [Request] GET /api/facilities/1/slots?date=2025-09-24 | Body: {} | Query: {"date":"2025-09-24"} | Params: {}
2025-09-19T09:02:47.402Z [INFO] [Request] GET /api/facilities/1/slots?date=2025-09-23 | Body: {} | Query: {"date":"2025-09-23"} | Params: {}
2025-09-19T09:02:47.874Z [INFO] [Request] GET /api/facilities/1/slots?date=2025-09-22 | Body: {} | Query: {"date":"2025-09-22"} | Params: {}
2025-09-19T09:02:48.266Z [INFO] [Request] GET /api/facilities/1/slots?date=2025-09-21 | Body: {} | Query: {"date":"2025-09-21"} | Params: {}
2025-09-19T09:03:30.713Z [INFO] [Request] GET /booking/1 | Body: {} | Query: {} | Params: {}
2025-09-19T09:03:30.734Z [INFO] [Request] GET /@vite/client | Body: {} | Query: {} | Params: {}
2025-09-19T09:03:30.738Z [INFO] [Request] GET /src/main.tsx?v=HmSMchkFmmPUmxcnnWyD9 | Body: {} | Query: {"v":"HmSMchkFmmPUmxcnnWyD9"} | Params: {}
2025-09-19T09:03:30.743Z [INFO] [Request] GET /@react-refresh | Body: {} | Query: {} | Params: {}
2025-09-19T09:03:30.747Z [INFO] [Request] GET /@fs/D:/ground%20management/SportsFacilityBooker/node_modules/vite/dist/client/env.mjs | Body: {} | Query: {} | Params: {}
2025-09-19T09:03:30.778Z [INFO] [Request] GET /src/App.tsx?v=HmSMchkFmmPUmxcnnWyD9 | Body: {} | Query: {"v":"HmSMchkFmmPUmxcnnWyD9"} | Params: {}
